#     mass     R_mu^F
 9.880e-01  0.000e+00
 9.885e-01  1.161e-04
 9.890e-01  3.638e-04
 9.895e-01  7.380e-04
 9.900e-01  1.251e-03
 9.905e-01  1.919e-03
 9.910e-01  2.762e-03
 9.915e-01  3.803e-03
 9.920e-01  5.065e-03
 9.925e-01  6.578e-03
 9.930e-01  8.371e-03
 9.935e-01  1.048e-02
 9.940e-01  1.294e-02
 9.945e-01  1.579e-02
 9.950e-01  1.908e-02
 9.955e-01  2.286e-02
 9.960e-01  2.719e-02
 9.965e-01  3.212e-02
 9.970e-01  3.775e-02
 9.975e-01  4.413e-02
 9.980e-01  5.137e-02
 9.985e-01  5.956e-02
 9.990e-01  6.882e-02
 9.995e-01  7.928e-02
 1.000e+00  9.109e-02
 1.000e+00  1.044e-01
 1.001e+00  1.195e-01
 1.002e+00  1.365e-01
 1.002e+00  1.557e-01
 1.002e+00  1.773e-01
 1.003e+00  2.019e-01
 1.004e+00  2.297e-01
 1.004e+00  2.612e-01
 1.004e+00  2.970e-01
 1.005e+00  3.378e-01
 1.006e+00  3.843e-01
 1.006e+00  4.375e-01
 1.006e+00  4.985e-01
 1.007e+00  5.688e-01
 1.008e+00  6.498e-01
 1.008e+00  7.438e-01
 1.008e+00  8.532e-01
 1.009e+00  9.812e-01
 1.010e+00  1.132e+00
 1.010e+00  1.309e+00
 1.010e+00  1.521e+00
 1.011e+00  1.774e+00
 1.012e+00  2.080e+00
 1.012e+00  2.452e+00
 1.012e+00  2.909e+00
 1.013e+00  3.476e+00
 1.014e+00  4.186e+00
 1.014e+00  5.085e+00
 1.014e+00  6.238e+00
 1.015e+00  7.733e+00
 1.016e+00  9.689e+00
 1.016e+00  1.227e+01
 1.016e+00  1.566e+01
 1.017e+00  2.006e+01
 1.018e+00  2.551e+01
 1.018e+00  3.163e+01
 1.018e+00  3.726e+01
 1.019e+00  4.061e+01
 1.020e+00  4.037e+01
 1.020e+00  3.693e+01
 1.020e+00  3.187e+01
 1.021e+00  2.666e+01
 1.022e+00  2.206e+01
 1.022e+00  1.828e+01
 1.022e+00  1.526e+01
 1.023e+00  1.287e+01
 1.024e+00  1.098e+01
 1.024e+00  9.471e+00
 1.024e+00  8.254e+00
 1.025e+00  7.261e+00
 1.026e+00  6.444e+00
 1.026e+00  5.764e+00
 1.026e+00  5.193e+00
 1.027e+00  4.708e+00
 1.028e+00  4.294e+00
 1.028e+00  3.937e+00
 1.028e+00  3.627e+00
 1.029e+00  3.356e+00
 1.030e+00  3.118e+00
 1.030e+00  2.907e+00
 1.030e+00  2.720e+00
 1.031e+00  2.553e+00
 1.032e+00  2.403e+00
 1.032e+00  2.268e+00
 1.032e+00  2.146e+00
 1.033e+00  2.035e+00
 1.034e+00  1.934e+00
 1.034e+00  1.842e+00
 1.034e+00  1.757e+00
 1.035e+00  1.679e+00
 1.036e+00  1.608e+00
 1.036e+00  1.542e+00
 1.036e+00  1.480e+00
 1.037e+00  1.424e+00
 1.038e+00  1.371e+00
 1.038e+00  1.322e+00
 1.038e+00  1.276e+00
 1.039e+00  1.233e+00
 1.040e+00  1.192e+00
 1.040e+00  1.155e+00
 1.040e+00  1.119e+00
 1.041e+00  1.086e+00
 1.042e+00  1.055e+00
 1.042e+00  1.025e+00
 1.042e+00  9.971e-01
 1.043e+00  9.707e-01
 1.044e+00  9.457e-01
 1.044e+00  9.221e-01
 1.044e+00  8.996e-01
 1.045e+00  8.783e-01
 1.046e+00  8.581e-01
 1.046e+00  8.389e-01
 1.046e+00  8.206e-01
 1.047e+00  8.031e-01
 1.048e+00  7.865e-01
 1.048e+00  7.707e-01
 1.048e+00  7.556e-01
 1.049e+00  7.411e-01
 1.050e+00  7.274e-01
 1.050e+00  7.142e-01
 1.050e+00  7.016e-01
 1.051e+00  6.895e-01
 1.052e+00  6.780e-01
 1.052e+00  6.669e-01
 1.052e+00  6.563e-01
 1.053e+00  6.461e-01
 1.054e+00  6.364e-01
 1.054e+00  6.270e-01
 1.054e+00  6.180e-01
 1.055e+00  6.094e-01
 1.056e+00  6.011e-01
 1.056e+00  5.932e-01
 1.056e+00  5.855e-01
 1.057e+00  5.782e-01
 1.058e+00  5.711e-01
 1.058e+00  5.643e-01
 1.058e+00  5.577e-01
 1.059e+00  5.514e-01
 1.060e+00  5.454e-01
 1.060e+00  5.395e-01
 1.060e+00  5.339e-01
 1.061e+00  5.285e-01
 1.062e+00  5.233e-01
 1.062e+00  5.182e-01
 1.062e+00  5.134e-01
 1.063e+00  5.087e-01
 1.064e+00  5.042e-01
 1.064e+00  4.998e-01
 1.065e+00  4.956e-01
 1.065e+00  4.916e-01
 1.066e+00  4.877e-01
 1.066e+00  4.839e-01
 1.067e+00  4.803e-01
 1.067e+00  4.768e-01
 1.068e+00  4.734e-01
 1.068e+00  4.701e-01
 1.069e+00  4.670e-01
 1.069e+00  4.639e-01
 1.070e+00  4.609e-01
 1.070e+00  4.581e-01
 1.071e+00  4.553e-01
 1.071e+00  4.527e-01
 1.072e+00  4.501e-01
 1.072e+00  4.476e-01
 1.073e+00  4.452e-01
 1.073e+00  4.428e-01
 1.074e+00  4.405e-01
 1.074e+00  4.383e-01
 1.075e+00  4.362e-01
 1.075e+00  4.341e-01
 1.076e+00  4.321e-01
 1.076e+00  4.302e-01
 1.077e+00  4.283e-01
 1.077e+00  4.264e-01
 1.078e+00  4.246e-01
 1.078e+00  4.229e-01
 1.079e+00  4.212e-01
 1.079e+00  4.195e-01
 1.080e+00  4.179e-01
 1.080e+00  4.163e-01
 1.081e+00  4.147e-01
 1.081e+00  4.132e-01
 1.082e+00  4.117e-01
 1.082e+00  4.103e-01
 1.083e+00  4.088e-01
 1.083e+00  4.074e-01
 1.084e+00  4.060e-01
 1.084e+00  4.046e-01
 1.085e+00  4.033e-01
 1.085e+00  4.019e-01
 1.086e+00  4.006e-01
 1.086e+00  3.993e-01
 1.087e+00  3.979e-01
 1.087e+00  3.966e-01
 1.088e+00  3.953e-01
 1.088e+00  3.940e-01
 1.089e+00  3.927e-01
 1.089e+00  3.914e-01
 1.089e+00  3.901e-01
 1.090e+00  3.888e-01
 1.091e+00  3.875e-01
 1.091e+00  3.862e-01
 1.091e+00  3.849e-01
 1.092e+00  3.836e-01
 1.093e+00  3.822e-01
 1.093e+00  3.809e-01
 1.093e+00  3.796e-01
 1.094e+00  3.783e-01
 1.095e+00  3.770e-01
 1.095e+00  3.756e-01
 1.095e+00  3.743e-01
 1.096e+00  3.730e-01
 1.097e+00  3.716e-01
 1.097e+00  3.703e-01
 1.097e+00  3.689e-01
 1.098e+00  3.676e-01
 1.099e+00  3.662e-01
 1.099e+00  3.649e-01
 1.099e+00  3.635e-01
 1.100e+00  3.621e-01
 1.101e+00  3.608e-01
 1.101e+00  3.594e-01
 1.101e+00  3.580e-01
 1.102e+00  3.566e-01
 1.103e+00  3.553e-01
 1.103e+00  3.539e-01
 1.103e+00  3.525e-01
 1.104e+00  3.511e-01
 1.105e+00  3.497e-01
 1.105e+00  3.483e-01
 1.105e+00  3.469e-01
 1.106e+00  3.455e-01
 1.107e+00  3.441e-01
 1.107e+00  3.427e-01
 1.107e+00  3.413e-01
 1.108e+00  3.399e-01
 1.109e+00  3.385e-01
 1.109e+00  3.371e-01
 1.109e+00  3.357e-01
 1.110e+00  3.342e-01
 1.111e+00  3.328e-01
 1.111e+00  3.314e-01
 1.111e+00  3.300e-01
 1.112e+00  3.286e-01
 1.113e+00  3.272e-01
 1.113e+00  3.258e-01
 1.113e+00  3.244e-01
 1.114e+00  3.230e-01
 1.115e+00  3.216e-01
 1.115e+00  3.202e-01
 1.115e+00  3.188e-01
 1.116e+00  3.174e-01
 1.117e+00  3.160e-01
 1.117e+00  3.146e-01
 1.117e+00  3.132e-01
 1.118e+00  3.119e-01
 1.119e+00  3.105e-01
 1.119e+00  3.091e-01
 1.119e+00  3.078e-01
 1.120e+00  3.064e-01
 1.121e+00  3.051e-01
 1.121e+00  3.038e-01
 1.121e+00  3.024e-01
 1.122e+00  3.011e-01
 1.123e+00  2.998e-01
 1.123e+00  2.985e-01
 1.123e+00  2.972e-01
 1.124e+00  2.959e-01
 1.125e+00  2.946e-01
 1.125e+00  2.934e-01
 1.125e+00  2.921e-01
 1.126e+00  2.909e-01
 1.127e+00  2.896e-01
 1.127e+00  2.884e-01
 1.127e+00  2.872e-01
 1.128e+00  2.860e-01
 1.129e+00  2.848e-01
 1.129e+00  2.837e-01
 1.129e+00  2.825e-01
 1.130e+00  2.814e-01
 1.131e+00  2.803e-01
 1.131e+00  2.792e-01
 1.131e+00  2.781e-01
 1.132e+00  2.770e-01
 1.133e+00  2.759e-01
 1.133e+00  2.749e-01
 1.133e+00  2.739e-01
 1.134e+00  2.729e-01
 1.135e+00  2.719e-01
 1.135e+00  2.709e-01
 1.135e+00  2.700e-01
 1.136e+00  2.691e-01
 1.137e+00  2.682e-01
 1.137e+00  2.673e-01
 1.137e+00  2.664e-01
 1.138e+00  2.656e-01
 1.139e+00  2.648e-01
 1.139e+00  2.640e-01
 1.139e+00  2.632e-01
 1.140e+00  2.625e-01
 1.141e+00  2.617e-01
 1.141e+00  2.610e-01
 1.141e+00  2.603e-01
 1.142e+00  2.597e-01
 1.143e+00  2.590e-01
 1.143e+00  2.584e-01
 1.143e+00  2.578e-01
 1.144e+00  2.572e-01
 1.145e+00  2.566e-01
 1.145e+00  2.561e-01
 1.145e+00  2.556e-01
 1.146e+00  2.550e-01
 1.147e+00  2.546e-01
 1.147e+00  2.541e-01
 1.147e+00  2.536e-01
 1.148e+00  2.532e-01
 1.149e+00  2.528e-01
 1.149e+00  2.524e-01
 1.149e+00  2.520e-01
 1.150e+00  2.516e-01
 1.151e+00  2.512e-01
 1.151e+00  2.509e-01
 1.151e+00  2.506e-01
 1.152e+00  2.503e-01
 1.153e+00  2.500e-01
 1.153e+00  2.497e-01
 1.153e+00  2.494e-01
 1.154e+00  2.492e-01
 1.155e+00  2.489e-01
 1.155e+00  2.487e-01
 1.155e+00  2.485e-01
 1.156e+00  2.483e-01
 1.157e+00  2.481e-01
 1.157e+00  2.479e-01
 1.157e+00  2.477e-01
 1.158e+00  2.476e-01
 1.159e+00  2.474e-01
 1.159e+00  2.473e-01
 1.159e+00  2.472e-01
 1.160e+00  2.471e-01
 1.161e+00  2.470e-01
 1.161e+00  2.469e-01
 1.161e+00  2.468e-01
 1.162e+00  2.468e-01
 1.163e+00  2.467e-01
 1.163e+00  2.467e-01
 1.163e+00  2.466e-01
 1.164e+00  2.466e-01
 1.165e+00  2.466e-01
 1.165e+00  2.465e-01
 1.165e+00  2.465e-01
 1.166e+00  2.465e-01
 1.167e+00  2.465e-01
 1.167e+00  2.466e-01
 1.167e+00  2.466e-01
 1.168e+00  2.466e-01
 1.169e+00  2.466e-01
 1.169e+00  2.467e-01
 1.169e+00  2.467e-01
 1.170e+00  2.468e-01
 1.171e+00  2.468e-01
 1.171e+00  2.469e-01
 1.171e+00  2.469e-01
 1.172e+00  2.470e-01
 1.173e+00  2.471e-01
 1.173e+00  2.471e-01
 1.173e+00  2.472e-01
 1.174e+00  2.473e-01
