#     mass     R_mu^F
 1.399e+00  0.000e+00
 1.400e+00  1.427e-03
 1.401e+00  1.841e-03
 1.401e+00  2.260e-03
 1.401e+00  2.683e-03
 1.402e+00  3.110e-03
 1.403e+00  3.541e-03
 1.403e+00  3.976e-03
 1.403e+00  4.415e-03
 1.404e+00  4.857e-03
 1.405e+00  5.303e-03
 1.405e+00  5.752e-03
 1.405e+00  6.205e-03
 1.406e+00  6.661e-03
 1.407e+00  7.119e-03
 1.407e+00  7.581e-03
 1.407e+00  8.045e-03
 1.408e+00  8.512e-03
 1.409e+00  8.982e-03
 1.409e+00  9.454e-03
 1.409e+00  9.928e-03
 1.410e+00  1.040e-02
 1.411e+00  1.088e-02
 1.411e+00  1.136e-02
 1.411e+00  1.184e-02
 1.412e+00  1.233e-02
 1.413e+00  1.281e-02
 1.413e+00  1.330e-02
 1.413e+00  1.379e-02
 1.414e+00  1.428e-02
 1.415e+00  1.477e-02
 1.415e+00  1.526e-02
 1.415e+00  1.575e-02
 1.416e+00  1.624e-02
 1.417e+00  1.673e-02
 1.417e+00  1.722e-02
 1.417e+00  1.771e-02
 1.418e+00  1.821e-02
 1.419e+00  1.870e-02
 1.419e+00  1.919e-02
 1.419e+00  1.968e-02
 1.420e+00  2.017e-02
 1.421e+00  2.066e-02
 1.421e+00  2.115e-02
 1.421e+00  2.164e-02
 1.422e+00  2.213e-02
 1.423e+00  2.261e-02
 1.423e+00  2.310e-02
 1.423e+00  2.358e-02
 1.424e+00  2.406e-02
 1.425e+00  2.454e-02
 1.425e+00  2.502e-02
 1.425e+00  2.549e-02
 1.426e+00  2.597e-02
 1.427e+00  2.644e-02
 1.427e+00  2.690e-02
 1.427e+00  2.737e-02
 1.428e+00  2.783e-02
 1.429e+00  2.829e-02
 1.429e+00  2.875e-02
 1.429e+00  2.920e-02
 1.430e+00  2.965e-02
 1.431e+00  3.009e-02
 1.431e+00  3.054e-02
 1.431e+00  3.097e-02
 1.432e+00  3.141e-02
 1.433e+00  3.184e-02
 1.433e+00  3.226e-02
 1.433e+00  3.268e-02
 1.434e+00  3.310e-02
 1.435e+00  3.351e-02
 1.435e+00  3.391e-02
 1.435e+00  3.431e-02
 1.436e+00  3.471e-02
 1.437e+00  3.510e-02
 1.437e+00  3.548e-02
 1.438e+00  3.586e-02
 1.438e+00  3.623e-02
 1.439e+00  3.660e-02
 1.439e+00  3.696e-02
 1.440e+00  3.731e-02
 1.440e+00  3.766e-02
 1.441e+00  3.800e-02
 1.441e+00  3.833e-02
 1.442e+00  3.866e-02
 1.442e+00  3.898e-02
 1.443e+00  3.929e-02
 1.443e+00  3.959e-02
 1.444e+00  3.989e-02
 1.444e+00  4.018e-02
 1.445e+00  4.046e-02
 1.445e+00  4.073e-02
 1.446e+00  4.099e-02
 1.446e+00  4.125e-02
 1.447e+00  4.150e-02
 1.447e+00  4.173e-02
 1.448e+00  4.196e-02
 1.448e+00  4.218e-02
 1.449e+00  4.239e-02
 1.449e+00  4.259e-02
 1.450e+00  4.278e-02
 1.450e+00  4.296e-02
 1.451e+00  4.313e-02
 1.451e+00  4.329e-02
 1.452e+00  4.344e-02
 1.452e+00  4.358e-02
 1.453e+00  4.371e-02
 1.453e+00  4.384e-02
 1.454e+00  4.395e-02
 1.454e+00  4.405e-02
 1.455e+00  4.415e-02
 1.455e+00  4.424e-02
 1.456e+00  4.432e-02
 1.456e+00  4.439e-02
 1.457e+00  4.446e-02
 1.457e+00  4.451e-02
 1.458e+00  4.456e-02
 1.458e+00  4.461e-02
 1.459e+00  4.464e-02
 1.459e+00  4.467e-02
 1.460e+00  4.469e-02
 1.460e+00  4.471e-02
 1.461e+00  4.472e-02
 1.461e+00  4.473e-02
 1.462e+00  4.473e-02
 1.462e+00  4.472e-02
 1.463e+00  4.471e-02
 1.463e+00  4.469e-02
 1.464e+00  4.467e-02
 1.464e+00  4.465e-02
 1.465e+00  4.462e-02
 1.465e+00  4.458e-02
 1.466e+00  4.454e-02
 1.466e+00  4.450e-02
 1.467e+00  4.446e-02
 1.467e+00  4.441e-02
 1.468e+00  4.436e-02
 1.468e+00  4.431e-02
 1.469e+00  4.425e-02
 1.469e+00  4.419e-02
 1.470e+00  4.413e-02
 1.470e+00  4.407e-02
 1.471e+00  4.401e-02
 1.471e+00  4.394e-02
 1.472e+00  4.387e-02
 1.472e+00  4.381e-02
 1.472e+00  4.374e-02
 1.473e+00  4.367e-02
 1.474e+00  4.360e-02
 1.474e+00  4.353e-02
 1.474e+00  4.347e-02
 1.475e+00  4.340e-02
 1.476e+00  4.333e-02
 1.476e+00  4.327e-02
 1.476e+00  4.320e-02
 1.477e+00  4.314e-02
 1.478e+00  4.308e-02
 1.478e+00  4.302e-02
 1.478e+00  4.296e-02
 1.479e+00  4.290e-02
 1.480e+00  4.285e-02
 1.480e+00  4.280e-02
 1.480e+00  4.275e-02
 1.481e+00  4.271e-02
 1.482e+00  4.267e-02
 1.482e+00  4.264e-02
 1.482e+00  4.260e-02
