#     mass     R_mu^F
 1.635e+00  0.000e+00
 1.636e+00  5.683e-04
 1.637e+00  1.071e-03
 1.637e+00  1.579e-03
 1.637e+00  2.090e-03
 1.638e+00  2.605e-03
 1.639e+00  3.123e-03
 1.639e+00  3.644e-03
 1.639e+00  4.169e-03
 1.640e+00  4.697e-03
 1.641e+00  5.228e-03
 1.641e+00  5.762e-03
 1.641e+00  6.299e-03
 1.642e+00  6.839e-03
 1.643e+00  7.382e-03
 1.643e+00  7.928e-03
 1.643e+00  8.476e-03
 1.644e+00  9.027e-03
 1.645e+00  9.580e-03
 1.645e+00  1.014e-02
 1.645e+00  1.070e-02
 1.646e+00  1.126e-02
 1.647e+00  1.182e-02
 1.647e+00  1.238e-02
 1.647e+00  1.295e-02
 1.648e+00  1.352e-02
 1.649e+00  1.409e-02
 1.649e+00  1.467e-02
 1.649e+00  1.524e-02
 1.650e+00  1.582e-02
 1.651e+00  1.640e-02
 1.651e+00  1.698e-02
 1.651e+00  1.756e-02
 1.652e+00  1.814e-02
 1.653e+00  1.873e-02
 1.653e+00  1.931e-02
 1.653e+00  1.990e-02
 1.654e+00  2.049e-02
 1.655e+00  2.108e-02
 1.655e+00  2.167e-02
 1.655e+00  2.226e-02
 1.656e+00  2.285e-02
 1.657e+00  2.344e-02
 1.657e+00  2.404e-02
 1.657e+00  2.463e-02
 1.658e+00  2.523e-02
 1.659e+00  2.582e-02
 1.659e+00  2.642e-02
 1.659e+00  2.702e-02
 1.660e+00  2.761e-02
 1.661e+00  2.821e-02
 1.661e+00  2.881e-02
 1.661e+00  2.941e-02
 1.662e+00  3.001e-02
 1.663e+00  3.060e-02
 1.663e+00  3.120e-02
 1.663e+00  3.180e-02
 1.664e+00  3.240e-02
 1.665e+00  3.300e-02
 1.665e+00  3.360e-02
 1.665e+00  3.419e-02
 1.666e+00  3.479e-02
 1.667e+00  3.539e-02
 1.667e+00  3.598e-02
 1.667e+00  3.658e-02
 1.668e+00  3.717e-02
 1.669e+00  3.777e-02
 1.669e+00  3.836e-02
 1.669e+00  3.896e-02
 1.670e+00  3.955e-02
 1.671e+00  4.014e-02
 1.671e+00  4.073e-02
 1.671e+00  4.132e-02
 1.672e+00  4.191e-02
 1.673e+00  4.250e-02
 1.673e+00  4.309e-02
 1.673e+00  4.367e-02
 1.674e+00  4.426e-02
 1.675e+00  4.484e-02
 1.675e+00  4.542e-02
 1.675e+00  4.600e-02
 1.676e+00  4.658e-02
 1.677e+00  4.716e-02
 1.677e+00  4.773e-02
 1.677e+00  4.831e-02
 1.678e+00  4.888e-02
 1.679e+00  4.945e-02
 1.679e+00  5.002e-02
 1.679e+00  5.059e-02
 1.680e+00  5.116e-02
 1.681e+00  5.172e-02
 1.681e+00  5.228e-02
 1.681e+00  5.284e-02
 1.682e+00  5.340e-02
 1.683e+00  5.396e-02
 1.683e+00  5.451e-02
 1.683e+00  5.506e-02
 1.684e+00  5.561e-02
 1.685e+00  5.616e-02
 1.685e+00  5.671e-02
 1.685e+00  5.725e-02
 1.686e+00  5.779e-02
 1.687e+00  5.833e-02
 1.687e+00  5.887e-02
 1.688e+00  5.940e-02
 1.688e+00  5.994e-02
 1.689e+00  6.047e-02
 1.689e+00  6.099e-02
 1.690e+00  6.152e-02
 1.690e+00  6.204e-02
 1.691e+00  6.256e-02
 1.691e+00  6.307e-02
 1.692e+00  6.359e-02
 1.692e+00  6.410e-02
 1.693e+00  6.461e-02
 1.693e+00  6.511e-02
 1.694e+00  6.561e-02
 1.694e+00  6.611e-02
 1.695e+00  6.661e-02
 1.695e+00  6.710e-02
 1.696e+00  6.759e-02
 1.696e+00  6.808e-02
 1.697e+00  6.857e-02
 1.697e+00  6.905e-02
 1.698e+00  6.953e-02
 1.698e+00  7.000e-02
 1.699e+00  7.048e-02
 1.699e+00  7.095e-02
 1.700e+00  7.141e-02
 1.700e+00  7.187e-02
 1.701e+00  7.233e-02
 1.701e+00  7.279e-02
 1.702e+00  7.324e-02
 1.702e+00  7.369e-02
 1.703e+00  7.414e-02
 1.703e+00  7.458e-02
 1.704e+00  7.502e-02
 1.704e+00  7.546e-02
 1.705e+00  7.589e-02
 1.705e+00  7.633e-02
 1.706e+00  7.675e-02
 1.706e+00  7.718e-02
 1.707e+00  7.760e-02
 1.707e+00  7.802e-02
 1.708e+00  7.843e-02
 1.708e+00  7.885e-02
 1.709e+00  7.926e-02
 1.709e+00  7.966e-02
 1.710e+00  8.007e-02
 1.710e+00  8.047e-02
 1.711e+00  8.087e-02
 1.711e+00  8.126e-02
 1.712e+00  8.165e-02
 1.712e+00  8.204e-02
 1.713e+00  8.243e-02
 1.713e+00  8.281e-02
 1.714e+00  8.319e-02
 1.714e+00  8.357e-02
 1.715e+00  8.395e-02
 1.715e+00  8.432e-02
 1.716e+00  8.469e-02
 1.716e+00  8.506e-02
 1.717e+00  8.542e-02
 1.717e+00  8.578e-02
 1.718e+00  8.614e-02
 1.718e+00  8.650e-02
 1.719e+00  8.685e-02
 1.719e+00  8.720e-02
