#     mass     R_mu^F
 1.709e+00  0.000e+00
 1.710e+00  1.266e-04
 1.710e+00  1.428e-03
 1.711e+00  2.748e-03
 1.711e+00  4.082e-03
 1.712e+00  5.433e-03
 1.712e+00  6.798e-03
 1.713e+00  8.179e-03
 1.713e+00  9.574e-03
 1.714e+00  1.098e-02
 1.714e+00  1.241e-02
 1.715e+00  1.385e-02
 1.715e+00  1.530e-02
 1.716e+00  1.676e-02
 1.716e+00  1.824e-02
 1.717e+00  1.973e-02
 1.717e+00  2.123e-02
 1.718e+00  2.275e-02
 1.718e+00  2.428e-02
 1.719e+00  2.582e-02
 1.719e+00  2.736e-02
 1.720e+00  2.893e-02
 1.720e+00  3.050e-02
 1.721e+00  3.208e-02
 1.721e+00  3.367e-02
 1.722e+00  3.527e-02
 1.722e+00  3.688e-02
 1.723e+00  3.851e-02
 1.723e+00  4.013e-02
 1.724e+00  4.177e-02
 1.724e+00  4.342e-02
 1.725e+00  4.507e-02
 1.725e+00  4.673e-02
 1.726e+00  4.840e-02
 1.726e+00  5.008e-02
 1.727e+00  5.176e-02
 1.727e+00  5.344e-02
 1.728e+00  5.514e-02
 1.728e+00  5.684e-02
 1.728e+00  5.854e-02
 1.729e+00  6.025e-02
 1.730e+00  6.196e-02
 1.730e+00  6.368e-02
 1.730e+00  6.540e-02
 1.731e+00  6.713e-02
 1.732e+00  6.885e-02
 1.732e+00  7.058e-02
 1.732e+00  7.232e-02
 1.733e+00  7.405e-02
 1.734e+00  7.579e-02
 1.734e+00  7.752e-02
 1.734e+00  7.926e-02
 1.735e+00  8.100e-02
 1.736e+00  8.274e-02
 1.736e+00  8.448e-02
 1.736e+00  8.622e-02
 1.737e+00  8.795e-02
 1.738e+00  8.969e-02
 1.738e+00  9.142e-02
 1.738e+00  9.315e-02
 1.739e+00  9.488e-02
 1.740e+00  9.660e-02
 1.740e+00  9.832e-02
 1.740e+00  1.000e-01
 1.741e+00  1.017e-01
 1.742e+00  1.034e-01
 1.742e+00  1.051e-01
 1.742e+00  1.068e-01
 1.743e+00  1.085e-01
 1.744e+00  1.102e-01
 1.744e+00  1.119e-01
 1.744e+00  1.135e-01
 1.745e+00  1.151e-01
 1.746e+00  1.168e-01
 1.746e+00  1.184e-01
 1.746e+00  1.200e-01
 1.747e+00  1.216e-01
 1.748e+00  1.232e-01
 1.748e+00  1.247e-01
 1.748e+00  1.263e-01
 1.749e+00  1.278e-01
 1.750e+00  1.293e-01
 1.750e+00  1.308e-01
 1.750e+00  1.323e-01
 1.751e+00  1.338e-01
 1.752e+00  1.352e-01
 1.752e+00  1.367e-01
 1.752e+00  1.381e-01
 1.753e+00  1.395e-01
 1.754e+00  1.408e-01
 1.754e+00  1.422e-01
 1.754e+00  1.435e-01
 1.755e+00  1.449e-01
 1.756e+00  1.462e-01
 1.756e+00  1.475e-01
 1.756e+00  1.487e-01
 1.757e+00  1.500e-01
 1.758e+00  1.512e-01
 1.758e+00  1.525e-01
 1.758e+00  1.537e-01
 1.759e+00  1.549e-01
 1.760e+00  1.560e-01
 1.760e+00  1.572e-01
 1.760e+00  1.584e-01
 1.761e+00  1.595e-01
 1.762e+00  1.606e-01
 1.762e+00  1.617e-01
 1.762e+00  1.628e-01
 1.763e+00  1.639e-01
 1.764e+00  1.649e-01
 1.764e+00  1.659e-01
 1.764e+00  1.670e-01
 1.765e+00  1.680e-01
 1.766e+00  1.690e-01
 1.766e+00  1.700e-01
 1.766e+00  1.709e-01
 1.767e+00  1.719e-01
 1.768e+00  1.728e-01
