#     mass     R_mu^F
 1.480e+00  0.000e+00
 1.480e+00  3.978e-02
 1.481e+00  4.659e-02
 1.482e+00  5.336e-02
 1.482e+00  6.009e-02
 1.482e+00  6.679e-02
 1.483e+00  7.344e-02
 1.484e+00  8.004e-02
 1.484e+00  8.658e-02
 1.484e+00  9.308e-02
 1.485e+00  9.951e-02
 1.486e+00  1.059e-01
 1.486e+00  1.122e-01
 1.486e+00  1.184e-01
 1.487e+00  1.246e-01
 1.488e+00  1.307e-01
 1.488e+00  1.367e-01
 1.488e+00  1.426e-01
 1.489e+00  1.485e-01
 1.490e+00  1.542e-01
 1.490e+00  1.599e-01
 1.490e+00  1.655e-01
 1.491e+00  1.709e-01
 1.492e+00  1.763e-01
 1.492e+00  1.815e-01
 1.492e+00  1.867e-01
 1.493e+00  1.917e-01
 1.494e+00  1.967e-01
 1.494e+00  2.015e-01
 1.494e+00  2.061e-01
 1.495e+00  2.107e-01
 1.496e+00  2.151e-01
 1.496e+00  2.194e-01
 1.496e+00  2.235e-01
 1.497e+00  2.275e-01
 1.498e+00  2.314e-01
 1.498e+00  2.351e-01
 1.498e+00  2.387e-01
 1.499e+00  2.421e-01
 1.500e+00  2.454e-01
 1.500e+00  2.485e-01
 1.500e+00  2.515e-01
 1.501e+00  2.544e-01
 1.502e+00  2.571e-01
 1.502e+00  2.596e-01
 1.502e+00  2.620e-01
 1.503e+00  2.643e-01
 1.504e+00  2.663e-01
 1.504e+00  2.683e-01
 1.504e+00  2.701e-01
 1.505e+00  2.718e-01
 1.506e+00  2.733e-01
 1.506e+00  2.746e-01
 1.506e+00  2.759e-01
 1.507e+00  2.770e-01
 1.508e+00  2.780e-01
 1.508e+00  2.788e-01
 1.508e+00  2.795e-01
 1.509e+00  2.801e-01
 1.510e+00  2.806e-01
 1.510e+00  2.809e-01
 1.510e+00  2.812e-01
 1.511e+00  2.813e-01
 1.512e+00  2.813e-01
 1.512e+00  2.812e-01
 1.512e+00  2.809e-01
 1.513e+00  2.806e-01
 1.514e+00  2.802e-01
 1.514e+00  2.796e-01
 1.514e+00  2.790e-01
 1.515e+00  2.783e-01
 1.516e+00  2.774e-01
 1.516e+00  2.765e-01
 1.516e+00  2.755e-01
 1.517e+00  2.744e-01
 1.518e+00  2.732e-01
 1.518e+00  2.720e-01
 1.518e+00  2.706e-01
 1.519e+00  2.692e-01
 1.520e+00  2.677e-01
 1.520e+00  2.661e-01
 1.520e+00  2.644e-01
 1.521e+00  2.627e-01
 1.522e+00  2.609e-01
 1.522e+00  2.591e-01
 1.522e+00  2.572e-01
 1.523e+00  2.552e-01
 1.524e+00  2.531e-01
 1.524e+00  2.510e-01
 1.524e+00  2.489e-01
 1.525e+00  2.467e-01
 1.526e+00  2.444e-01
 1.526e+00  2.421e-01
 1.526e+00  2.398e-01
 1.527e+00  2.374e-01
 1.528e+00  2.350e-01
 1.528e+00  2.325e-01
 1.528e+00  2.300e-01
 1.529e+00  2.275e-01
 1.530e+00  2.249e-01
 1.530e+00  2.223e-01
 1.530e+00  2.197e-01
 1.531e+00  2.171e-01
 1.532e+00  2.144e-01
 1.532e+00  2.117e-01
 1.532e+00  2.090e-01
 1.533e+00  2.063e-01
 1.534e+00  2.036e-01
 1.534e+00  2.008e-01
 1.534e+00  1.981e-01
 1.535e+00  1.954e-01
 1.536e+00  1.926e-01
 1.536e+00  1.899e-01
 1.536e+00  1.871e-01
 1.537e+00  1.844e-01
 1.538e+00  1.816e-01
 1.538e+00  1.789e-01
 1.538e+00  1.762e-01
 1.539e+00  1.735e-01
 1.540e+00  1.708e-01
 1.540e+00  1.681e-01
 1.540e+00  1.654e-01
 1.541e+00  1.628e-01
 1.542e+00  1.602e-01
 1.542e+00  1.576e-01
 1.542e+00  1.551e-01
 1.543e+00  1.526e-01
 1.544e+00  1.501e-01
 1.544e+00  1.476e-01
 1.544e+00  1.452e-01
 1.545e+00  1.429e-01
 1.546e+00  1.406e-01
 1.546e+00  1.383e-01
 1.546e+00  1.361e-01
 1.547e+00  1.339e-01
 1.548e+00  1.318e-01
 1.548e+00  1.297e-01
 1.548e+00  1.277e-01
 1.549e+00  1.257e-01
 1.550e+00  1.239e-01
 1.550e+00  1.220e-01
 1.550e+00  1.203e-01
 1.551e+00  1.186e-01
 1.552e+00  1.170e-01
 1.552e+00  1.154e-01
 1.552e+00  1.140e-01
 1.553e+00  1.125e-01
 1.554e+00  1.112e-01
 1.554e+00  1.099e-01
 1.554e+00  1.087e-01
 1.555e+00  1.075e-01
 1.556e+00  1.064e-01
 1.556e+00  1.054e-01
 1.556e+00  1.044e-01
 1.557e+00  1.035e-01
 1.558e+00  1.027e-01
 1.558e+00  1.019e-01
 1.558e+00  1.012e-01
 1.559e+00  1.005e-01
 1.560e+00  9.992e-02
 1.560e+00  9.939e-02
 1.560e+00  9.892e-02
 1.561e+00  9.851e-02
 1.562e+00  9.816e-02
 1.562e+00  9.787e-02
 1.562e+00  9.763e-02
 1.563e+00  9.747e-02
 1.564e+00  9.735e-02
 1.564e+00  9.730e-02
 1.565e+00  9.730e-02
 1.565e+00  9.737e-02
 1.566e+00  9.748e-02
