#     mass     R_mu^F
 8.000e-01  0.000e+00
 8.005e-01  2.032e-05
 8.010e-01  4.047e-05
 8.015e-01  6.045e-05
 8.020e-01  8.026e-05
 8.025e-01  9.991e-05
 8.030e-01  1.194e-04
 8.035e-01  1.387e-04
 8.040e-01  1.579e-04
 8.045e-01  1.769e-04
 8.050e-01  1.957e-04
 8.055e-01  2.144e-04
 8.060e-01  2.329e-04
 8.065e-01  2.513e-04
 8.070e-01  2.695e-04
 8.075e-01  2.876e-04
 8.080e-01  3.055e-04
 8.085e-01  3.233e-04
 8.090e-01  3.409e-04
 8.095e-01  3.584e-04
 8.100e-01  3.758e-04
 8.105e-01  3.930e-04
 8.110e-01  4.101e-04
 8.115e-01  4.270e-04
 8.120e-01  4.438e-04
 8.125e-01  4.605e-04
 8.130e-01  4.770e-04
 8.135e-01  4.934e-04
 8.140e-01  5.097e-04
 8.145e-01  5.259e-04
 8.150e-01  5.419e-04
 8.155e-01  5.578e-04
 8.160e-01  5.736e-04
 8.165e-01  5.892e-04
 8.170e-01  6.048e-04
 8.175e-01  6.202e-04
 8.180e-01  6.355e-04
 8.185e-01  6.507e-04
 8.190e-01  6.658e-04
 8.195e-01  6.808e-04
 8.200e-01  6.957e-04
 8.205e-01  7.104e-04
 8.210e-01  7.251e-04
 8.215e-01  7.397e-04
 8.220e-01  7.541e-04
 8.225e-01  7.685e-04
 8.230e-01  7.827e-04
 8.235e-01  7.969e-04
 8.240e-01  8.109e-04
 8.245e-01  8.249e-04
 8.250e-01  8.388e-04
 8.255e-01  8.526e-04
 8.260e-01  8.663e-04
 8.265e-01  8.799e-04
 8.270e-01  8.934e-04
 8.275e-01  9.069e-04
 8.280e-01  9.203e-04
 8.285e-01  9.335e-04
 8.290e-01  9.467e-04
 8.295e-01  9.599e-04
 8.300e-01  9.729e-04
 8.305e-01  9.859e-04
 8.310e-01  9.988e-04
 8.315e-01  1.012e-03
 8.320e-01  1.024e-03
 8.325e-01  1.037e-03
 8.330e-01  1.050e-03
 8.335e-01  1.062e-03
 8.340e-01  1.075e-03
 8.345e-01  1.087e-03
 8.350e-01  1.100e-03
 8.355e-01  1.112e-03
 8.360e-01  1.124e-03
 8.365e-01  1.137e-03
 8.370e-01  1.149e-03
 8.375e-01  1.161e-03
 8.380e-01  1.173e-03
 8.385e-01  1.185e-03
 8.390e-01  1.197e-03
 8.395e-01  1.209e-03
 8.400e-01  1.221e-03
 8.405e-01  1.233e-03
 8.410e-01  1.245e-03
 8.415e-01  1.256e-03
 8.420e-01  1.268e-03
 8.425e-01  1.280e-03
 8.430e-01  1.292e-03
 8.435e-01  1.303e-03
 8.440e-01  1.315e-03
