#     mass     R_mu^F
 4.195e-01  0.000e+00
 4.200e-01  3.959e-22
 4.205e-01  4.293e-09
 4.210e-01  1.005e-08
 4.215e-01  1.728e-08
 4.220e-01  2.601e-08
 4.225e-01  3.624e-08
 4.230e-01  4.801e-08
 4.235e-01  6.132e-08
 4.240e-01  7.619e-08
 4.245e-01  9.264e-08
 4.250e-01  1.107e-07
 4.255e-01  1.303e-07
 4.260e-01  1.516e-07
 4.265e-01  1.746e-07
 4.270e-01  1.992e-07
 4.275e-01  2.255e-07
 4.280e-01  2.535e-07
 4.285e-01  2.832e-07
 4.290e-01  3.147e-07
 4.295e-01  3.480e-07
 4.300e-01  3.830e-07
 4.305e-01  4.198e-07
 4.310e-01  4.585e-07
 4.315e-01  4.989e-07
 4.320e-01  5.413e-07
 4.325e-01  5.855e-07
 4.330e-01  6.317e-07
 4.335e-01  6.798e-07
 4.340e-01  7.298e-07
 4.345e-01  7.818e-07
 4.350e-01  8.358e-07
 4.355e-01  8.918e-07
 4.360e-01  9.498e-07
 4.365e-01  1.010e-06
 4.370e-01  1.072e-06
 4.375e-01  1.136e-06
 4.380e-01  1.203e-06
 4.385e-01  1.271e-06
 4.390e-01  1.342e-06
 4.395e-01  1.415e-06
 4.400e-01  1.490e-06
 4.405e-01  1.568e-06
 4.410e-01  1.647e-06
 4.415e-01  1.729e-06
 4.420e-01  1.814e-06
 4.425e-01  1.901e-06
 4.430e-01  1.990e-06
 4.435e-01  2.081e-06
 4.440e-01  2.175e-06
 4.445e-01  2.271e-06
 4.450e-01  2.370e-06
 4.455e-01  2.472e-06
 4.460e-01  2.576e-06
 4.465e-01  2.682e-06
 4.470e-01  2.791e-06
 4.475e-01  2.903e-06
 4.480e-01  3.018e-06
 4.485e-01  3.135e-06
 4.490e-01  3.255e-06
 4.495e-01  3.377e-06
 4.500e-01  3.503e-06
 4.505e-01  3.631e-06
 4.510e-01  3.762e-06
 4.515e-01  3.896e-06
 4.520e-01  4.033e-06
 4.525e-01  4.173e-06
 4.530e-01  4.315e-06
 4.535e-01  4.461e-06
 4.540e-01  4.610e-06
 4.545e-01  4.762e-06
 4.550e-01  4.917e-06
 4.555e-01  5.075e-06
 4.560e-01  5.237e-06
 4.565e-01  5.401e-06
 4.570e-01  5.569e-06
 4.575e-01  5.741e-06
 4.580e-01  5.915e-06
 4.585e-01  6.093e-06
 4.590e-01  6.274e-06
 4.595e-01  6.459e-06
 4.600e-01  6.648e-06
 4.605e-01  6.839e-06
 4.610e-01  7.035e-06
 4.615e-01  7.234e-06
 4.620e-01  7.436e-06
 4.625e-01  7.643e-06
 4.630e-01  7.853e-06
 4.635e-01  8.067e-06
 4.640e-01  8.285e-06
 4.645e-01  8.506e-06
 4.650e-01  8.732e-06
 4.655e-01  8.961e-06
 4.660e-01  9.195e-06
 4.665e-01  9.432e-06
 4.670e-01  9.674e-06
 4.675e-01  9.920e-06
 4.680e-01  1.017e-05
 4.685e-01  1.042e-05
 4.690e-01  1.068e-05
 4.695e-01  1.095e-05
 4.700e-01  1.121e-05
 4.705e-01  1.148e-05
 4.710e-01  1.176e-05
 4.715e-01  1.204e-05
 4.720e-01  1.233e-05
