#     mass     R_mu^F
 5.365e-01  0.000e+00
 5.370e-01  1.022e-05
 5.375e-01  1.006e-05
 5.380e-01  1.041e-05
 5.385e-01  1.028e-05
 5.390e-01  1.067e-05
 5.395e-01  1.056e-05
 5.400e-01  1.098e-05
 5.405e-01  1.091e-05
 5.410e-01  1.085e-05
 5.415e-01  1.131e-05
 5.420e-01  1.129e-05
 5.425e-01  1.178e-05
 5.430e-01  1.179e-05
 5.435e-01  1.182e-05
 5.440e-01  1.186e-05
 5.445e-01  1.192e-05
 5.450e-01  1.249e-05
 5.455e-01  1.259e-05
 5.460e-01  1.269e-05
 5.465e-01  1.282e-05
 5.470e-01  1.297e-05
 5.475e-01  1.313e-05
 5.480e-01  1.331e-05
 5.485e-01  1.351e-05
 5.490e-01  1.373e-05
 5.495e-01  1.397e-05
 5.500e-01  1.423e-05
 5.505e-01  1.400e-05
 5.510e-01  1.430e-05
 5.515e-01  1.461e-05
 5.520e-01  1.495e-05
 5.525e-01  1.480e-05
 5.530e-01  1.518e-05
 5.535e-01  1.508e-05
 5.540e-01  1.550e-05
 5.545e-01  1.543e-05
 5.550e-01  1.589e-05
 5.555e-01  1.588e-05
 5.560e-01  1.638e-05
 5.565e-01  1.641e-05
 5.570e-01  1.646e-05
 5.575e-01  1.703e-05
 5.580e-01  1.712e-05
 5.585e-01  1.724e-05
 5.590e-01  1.738e-05
 5.595e-01  1.755e-05
 5.600e-01  1.774e-05
 5.605e-01  1.796e-05
 5.610e-01  1.820e-05
 5.615e-01  1.846e-05
 5.620e-01  1.875e-05
 5.625e-01  1.907e-05
 5.630e-01  1.941e-05
 5.635e-01  1.978e-05
 5.640e-01  1.967e-05
 5.645e-01  2.009e-05
 5.650e-01  2.054e-05
 5.655e-01  2.052e-05
 5.660e-01  2.102e-05
 5.665e-01  2.106e-05
 5.670e-01  2.112e-05
 5.675e-01  2.171e-05
 5.680e-01  2.183e-05
 5.685e-01  2.198e-05
 5.690e-01  2.216e-05
 5.695e-01  2.288e-05
 5.700e-01  2.312e-05
 5.705e-01  2.339e-05
 5.710e-01  2.370e-05
 5.715e-01  2.403e-05
 5.720e-01  2.390e-05
 5.725e-01  2.431e-05
 5.730e-01  2.374e-05
 5.735e-01  2.671e-05
 5.740e-01  2.472e-05
 5.745e-01  2.776e-05
 5.750e-01  2.583e-05
 5.755e-01  2.394e-05
 5.760e-01  2.709e-05
 5.765e-01  2.527e-05
 5.770e-01  2.849e-05
 5.775e-01  2.674e-05
 5.780e-01  3.004e-05
 5.785e-01  2.837e-05
 5.790e-01  2.674e-05
 5.795e-01  3.015e-05
 5.800e-01  2.860e-05
 5.805e-01  2.709e-05
 5.810e-01  3.062e-05
 5.815e-01  2.920e-05
 5.820e-01  3.281e-05
 5.825e-01  3.147e-05
 5.830e-01  3.017e-05
 5.835e-01  3.391e-05
 5.840e-01  3.270e-05
 5.845e-01  3.153e-05
 5.850e-01  3.041e-05
 5.855e-01  3.433e-05
 5.860e-01  3.330e-05
 5.865e-01  3.232e-05
 5.870e-01  3.639e-05
 5.875e-01  3.550e-05
 5.880e-01  3.466e-05
 5.885e-01  3.387e-05
 5.890e-01  3.814e-05
 5.895e-01  3.745e-05
 5.900e-01  3.681e-05
 5.905e-01  3.623e-05
 5.910e-01  3.570e-05
 5.915e-01  4.022e-05
 5.920e-01  3.980e-05
 5.925e-01  3.944e-05
 5.930e-01  3.912e-05
 5.935e-01  3.887e-05
 5.940e-01  3.867e-05
 5.945e-01  3.854e-05
 5.950e-01  4.346e-05
 5.955e-01  4.344e-05
 5.960e-01  4.348e-05
 5.965e-01  4.358e-05
 5.970e-01  4.374e-05
 5.975e-01  4.397e-05
 5.980e-01  4.426e-05
 5.985e-01  4.462e-05
 5.990e-01  4.504e-05
 5.995e-01  4.553e-05
 6.000e-01  4.609e-05
 6.005e-01  4.671e-05
 6.010e-01  4.741e-05
 6.015e-01  4.817e-05
 6.020e-01  4.900e-05
 6.025e-01  4.991e-05
 6.030e-01  5.090e-05
 6.035e-01  5.195e-05
 6.040e-01  5.308e-05
 6.045e-01  4.929e-05
 6.050e-01  5.058e-05
 6.055e-01  5.194e-05
 6.060e-01  5.338e-05
 6.065e-01  5.491e-05
 6.070e-01  5.652e-05
 6.075e-01  5.321e-05
 6.080e-01  5.498e-05
 6.085e-01  5.684e-05
 6.090e-01  5.879e-05
 6.095e-01  5.582e-05
 6.100e-01  5.794e-05
 6.105e-01  6.016e-05
 6.110e-01  5.746e-05
 6.115e-01  5.987e-05
 6.120e-01  6.236e-05
 6.125e-01  5.995e-05
 6.130e-01  6.264e-05
 6.135e-01  6.542e-05
 6.140e-01  6.331e-05
 6.145e-01  6.630e-05
 6.150e-01  6.439e-05
 6.155e-01  6.758e-05
 6.160e-01  6.588e-05
 6.165e-01  6.929e-05
 6.170e-01  6.781e-05
 6.175e-01  7.144e-05
 6.180e-01  7.018e-05
 6.185e-01  6.904e-05
 6.190e-01  7.301e-05
 6.195e-01  7.210e-05
 6.200e-01  7.131e-05
 6.205e-01  7.564e-05
 6.210e-01  7.509e-05
 6.215e-01  7.467e-05
 6.220e-01  7.937e-05
 6.225e-01  7.920e-05
 6.230e-01  7.917e-05
 6.235e-01  7.926e-05
 6.240e-01  7.950e-05
 6.245e-01  7.986e-05
 6.250e-01  8.037e-05
 6.255e-01  8.102e-05
 6.260e-01  8.681e-05
 6.265e-01  8.774e-05
 6.270e-01  8.382e-05
 6.275e-01  8.506e-05
 6.280e-01  8.644e-05
 6.285e-01  8.798e-05
 6.290e-01  8.968e-05
 6.295e-01  9.153e-05
 6.300e-01  9.355e-05
 6.305e-01  9.573e-05
 6.310e-01  9.308e-05
 6.315e-01  9.559e-05
 6.320e-01  9.828e-05
 6.325e-01  9.615e-05
 6.330e-01  9.919e-05
 6.335e-01  1.024e-04
 6.340e-01  1.008e-04
 6.345e-01  1.044e-04
 6.350e-01  1.032e-04
 6.355e-01  1.072e-04
 6.360e-01  1.063e-04
 6.365e-01  1.057e-04
 6.370e-01  1.103e-04
 6.375e-01  1.101e-04
 6.380e-01  1.100e-04
 6.385e-01  1.102e-04
 6.390e-01  1.157e-04
 6.395e-01  1.163e-04
 6.400e-01  1.171e-04
 6.405e-01  1.182e-04
 6.410e-01  1.195e-04
 6.415e-01  1.211e-04
