#     mass     R_mu^F
 4.195e-01  0.000e+00
 4.200e-01  7.402e-24
 4.205e-01  8.006e-11
 4.210e-01  1.870e-10
 4.215e-01  3.211e-10
 4.220e-01  4.825e-10
 4.225e-01  6.712e-10
 4.230e-01  8.875e-10
 4.235e-01  1.132e-09
 4.240e-01  1.404e-09
 4.245e-01  1.704e-09
 4.250e-01  2.032e-09
 4.255e-01  2.388e-09
 4.260e-01  2.774e-09
 4.265e-01  3.188e-09
 4.270e-01  3.631e-09
 4.275e-01  4.103e-09
 4.280e-01  4.604e-09
 4.285e-01  5.135e-09
 4.290e-01  5.695e-09
 4.295e-01  6.285e-09
 4.300e-01  6.905e-09
 4.305e-01  7.556e-09
 4.310e-01  8.236e-09
 4.315e-01  8.948e-09
 4.320e-01  9.690e-09
 4.325e-01  1.046e-08
 4.330e-01  1.127e-08
 4.335e-01  1.210e-08
 4.340e-01  1.297e-08
 4.345e-01  1.387e-08
 4.350e-01  1.480e-08
 4.355e-01  1.576e-08
 4.360e-01  1.676e-08
 4.365e-01  1.778e-08
 4.370e-01  1.884e-08
 4.375e-01  1.994e-08
 4.380e-01  2.106e-08
 4.385e-01  2.222e-08
 4.390e-01  2.342e-08
 4.395e-01  2.464e-08
 4.400e-01  2.590e-08
 4.405e-01  2.720e-08
 4.410e-01  2.853e-08
 4.415e-01  2.989e-08
 4.420e-01  3.129e-08
 4.425e-01  3.273e-08
 4.430e-01  3.420e-08
 4.435e-01  3.570e-08
 4.440e-01  3.724e-08
 4.445e-01  3.882e-08
 4.450e-01  4.043e-08
 4.455e-01  4.209e-08
 4.460e-01  4.377e-08
 4.465e-01  4.550e-08
 4.470e-01  4.726e-08
 4.475e-01  4.906e-08
 4.480e-01  5.089e-08
 4.485e-01  5.277e-08
 4.490e-01  5.468e-08
 4.495e-01  5.663e-08
 4.500e-01  5.862e-08
 4.505e-01  6.065e-08
 4.510e-01  6.272e-08
 4.515e-01  6.483e-08
 4.520e-01  6.698e-08
 4.525e-01  6.916e-08
 4.530e-01  7.139e-08
 4.535e-01  7.366e-08
