#     mass     R_mu^F
 8.000e-01  0.000e+00
 8.005e-01 -4.080e-06
 8.010e-01 -8.414e-06
 8.015e-01 -1.300e-05
 8.020e-01 -1.782e-05
 8.025e-01 -2.287e-05
 8.030e-01 -2.815e-05
 8.035e-01 -3.365e-05
 8.040e-01 -3.936e-05
 8.045e-01 -4.527e-05
 8.050e-01 -5.138e-05
 8.055e-01 -5.768e-05
 8.060e-01 -6.415e-05
 8.065e-01 -7.080e-05
 8.070e-01 -7.762e-05
 8.075e-01 -8.459e-05
 8.080e-01 -9.172e-05
 8.085e-01 -9.899e-05
 8.090e-01 -1.064e-04
 8.095e-01 -1.139e-04
 8.100e-01 -1.216e-04
 8.105e-01 -1.294e-04
 8.110e-01 -1.372e-04
 8.115e-01 -1.452e-04
 8.120e-01 -1.533e-04
 8.125e-01 -1.614e-04
 8.130e-01 -1.697e-04
 8.135e-01 -1.780e-04
 8.140e-01 -1.863e-04
 8.145e-01 -1.947e-04
 8.150e-01 -2.032e-04
 8.155e-01 -2.117e-04
 8.160e-01 -2.202e-04
 8.165e-01 -2.288e-04
 8.170e-01 -2.374e-04
 8.175e-01 -2.460e-04
 8.180e-01 -2.546e-04
 8.185e-01 -2.631e-04
 8.190e-01 -2.717e-04
 8.195e-01 -2.803e-04
 8.200e-01 -2.888e-04
 8.205e-01 -2.973e-04
 8.210e-01 -3.057e-04
 8.215e-01 -3.141e-04
 8.220e-01 -3.225e-04
 8.225e-01 -3.308e-04
 8.230e-01 -3.390e-04
 8.235e-01 -3.471e-04
 8.240e-01 -3.551e-04
 8.245e-01 -3.631e-04
 8.250e-01 -3.709e-04
 8.255e-01 -3.787e-04
 8.260e-01 -3.863e-04
 8.265e-01 -3.938e-04
 8.270e-01 -4.012e-04
 8.275e-01 -4.084e-04
 8.280e-01 -4.155e-04
 8.285e-01 -4.224e-04
 8.290e-01 -4.291e-04
 8.295e-01 -4.357e-04
 8.300e-01 -4.422e-04
 8.305e-01 -4.484e-04
 8.310e-01 -4.544e-04
 8.315e-01 -4.603e-04
 8.320e-01 -4.659e-04
 8.325e-01 -4.713e-04
 8.330e-01 -4.765e-04
 8.335e-01 -4.815e-04
 8.340e-01 -4.862e-04
 8.345e-01 -4.907e-04
 8.350e-01 -4.950e-04
 8.355e-01 -4.990e-04
 8.360e-01 -5.027e-04
 8.365e-01 -5.061e-04
 8.370e-01 -5.093e-04
 8.375e-01 -5.122e-04
 8.380e-01 -5.147e-04
 8.385e-01 -5.170e-04
 8.390e-01 -5.190e-04
 8.395e-01 -5.206e-04
 8.400e-01 -5.219e-04
 8.405e-01 -5.229e-04
 8.410e-01 -5.236e-04
 8.415e-01 -5.239e-04
 8.420e-01 -5.238e-04
