#     mass     R_mu^F
 1.400e-01  0.000e+00
 1.405e-01  3.402e-13
 1.410e-01  2.709e-12
 1.415e-01  9.098e-12
 1.420e-01  2.146e-11
 1.425e-01  4.172e-11
 1.430e-01  7.175e-11
 1.435e-01  1.134e-10
 1.440e-01  1.685e-10
 1.445e-01  2.388e-10
 1.450e-01  3.261e-10
 1.455e-01  4.320e-10
 1.460e-01  5.583e-10
 1.465e-01  7.067e-10
 1.470e-01  8.786e-10
 1.475e-01  1.076e-09
 1.480e-01  1.300e-09
 1.485e-01  1.552e-09
 1.490e-01  1.835e-09
 1.495e-01  2.148e-09
 1.500e-01  2.495e-09
 1.505e-01  2.876e-09
 1.510e-01  3.292e-09
 1.515e-01  3.746e-09
 1.520e-01  4.238e-09
 1.525e-01  4.770e-09
 1.530e-01  5.344e-09
 1.535e-01  5.959e-09
 1.540e-01  6.619e-09
 1.545e-01  7.324e-09
 1.550e-01  8.075e-09
 1.555e-01  8.873e-09
 1.560e-01  9.721e-09
 1.565e-01  1.062e-08
 1.570e-01  1.157e-08
 1.575e-01  1.257e-08
 1.580e-01  1.362e-08
 1.585e-01  1.473e-08
 1.590e-01  1.590e-08
 1.595e-01  1.712e-08
 1.600e-01  1.840e-08
 1.605e-01  1.974e-08
 1.610e-01  2.114e-08
 1.615e-01  2.260e-08
 1.620e-01  2.412e-08
 1.625e-01  2.571e-08
 1.630e-01  2.736e-08
 1.635e-01  2.907e-08
 1.640e-01  3.086e-08
 1.645e-01  3.271e-08
 1.650e-01  3.463e-08
 1.655e-01  3.661e-08
 1.660e-01  3.867e-08
 1.665e-01  4.080e-08
 1.670e-01  4.300e-08
 1.675e-01  4.527e-08
 1.680e-01  4.762e-08
 1.685e-01  5.004e-08
 1.690e-01  5.254e-08
 1.695e-01  5.512e-08
 1.700e-01  5.777e-08
 1.705e-01  6.050e-08
 1.710e-01  6.331e-08
 1.715e-01  6.620e-08
 1.720e-01  6.918e-08
 1.725e-01  7.223e-08
 1.730e-01  7.537e-08
 1.735e-01  7.859e-08
 1.740e-01  8.189e-08
 1.745e-01  8.528e-08
 1.750e-01  8.876e-08
 1.755e-01  9.232e-08
 1.760e-01  9.597e-08
 1.765e-01  9.971e-08
 1.770e-01  1.035e-07
 1.775e-01  1.075e-07
 1.780e-01  1.115e-07
 1.785e-01  1.156e-07
 1.790e-01  1.198e-07
 1.795e-01  1.240e-07
 1.800e-01  1.284e-07
 1.805e-01  1.329e-07
 1.810e-01  1.375e-07
 1.815e-01  1.421e-07
 1.820e-01  1.469e-07
 1.825e-01  1.518e-07
 1.830e-01  1.567e-07
 1.835e-01  1.618e-07
 1.840e-01  1.669e-07
 1.845e-01  1.722e-07
 1.850e-01  1.776e-07
 1.855e-01  1.830e-07
 1.860e-01  1.886e-07
 1.865e-01  1.943e-07
 1.870e-01  2.000e-07
 1.875e-01  2.059e-07
 1.880e-01  2.119e-07
 1.885e-01  2.180e-07
 1.890e-01  2.242e-07
 1.895e-01  2.305e-07
 1.900e-01  2.369e-07
 1.905e-01  2.434e-07
 1.910e-01  2.501e-07
 1.915e-01  2.568e-07
 1.920e-01  2.637e-07
 1.925e-01  2.706e-07
 1.930e-01  2.777e-07
 1.935e-01  2.849e-07
 1.940e-01  2.922e-07
 1.945e-01  2.997e-07
 1.950e-01  3.072e-07
 1.955e-01  3.149e-07
 1.960e-01  3.226e-07
 1.965e-01  3.305e-07
 1.970e-01  3.385e-07
 1.975e-01  3.467e-07
 1.980e-01  3.549e-07
 1.985e-01  3.633e-07
 1.990e-01  3.718e-07
 1.995e-01  3.804e-07
 2.000e-01  3.891e-07
 2.005e-01  3.980e-07
 2.010e-01  4.070e-07
 2.015e-01  4.161e-07
 2.020e-01  4.253e-07
 2.025e-01  4.347e-07
 2.030e-01  4.442e-07
 2.035e-01  4.538e-07
 2.040e-01  4.635e-07
 2.045e-01  4.734e-07
 2.050e-01  4.834e-07
 2.055e-01  4.935e-07
 2.060e-01  5.038e-07
 2.065e-01  5.142e-07
 2.070e-01  5.247e-07
 2.075e-01  5.354e-07
 2.080e-01  5.462e-07
 2.085e-01  5.571e-07
 2.090e-01  5.682e-07
 2.095e-01  5.794e-07
 2.100e-01  5.907e-07
 2.105e-01  6.022e-07
 2.110e-01  6.138e-07
 2.115e-01  6.256e-07
 2.120e-01  6.375e-07
 2.125e-01  6.495e-07
 2.130e-01  6.617e-07
 2.135e-01  6.740e-07
 2.140e-01  6.864e-07
 2.145e-01  6.990e-07
 2.150e-01  7.118e-07
 2.155e-01  7.247e-07
 2.160e-01  7.377e-07
 2.165e-01  7.509e-07
 2.170e-01  7.642e-07
 2.175e-01  7.777e-07
 2.180e-01  7.913e-07
 2.185e-01  8.051e-07
 2.190e-01  8.190e-07
 2.195e-01  8.331e-07
 2.200e-01  8.473e-07
 2.205e-01  8.617e-07
 2.210e-01  8.762e-07
 2.215e-01  8.909e-07
 2.220e-01  9.058e-07
 2.225e-01  9.208e-07
 2.230e-01  9.359e-07
 2.235e-01  9.512e-07
 2.240e-01  9.667e-07
 2.245e-01  9.823e-07
 2.250e-01  9.981e-07
 2.255e-01  1.014e-06
 2.260e-01  1.030e-06
 2.265e-01  1.046e-06
 2.270e-01  1.063e-06
 2.275e-01  1.079e-06
 2.280e-01  1.096e-06
 2.285e-01  1.113e-06
 2.290e-01  1.130e-06
 2.295e-01  1.147e-06
 2.300e-01  1.165e-06
 2.305e-01  1.182e-06
 2.310e-01  1.200e-06
 2.315e-01  1.218e-06
 2.320e-01  1.236e-06
 2.325e-01  1.254e-06
 2.330e-01  1.273e-06
 2.335e-01  1.291e-06
 2.340e-01  1.310e-06
 2.345e-01  1.329e-06
 2.350e-01  1.348e-06
 2.355e-01  1.368e-06
 2.360e-01  1.387e-06
 2.365e-01  1.407e-06
 2.370e-01  1.427e-06
 2.375e-01  1.447e-06
 2.380e-01  1.467e-06
 2.385e-01  1.487e-06
 2.390e-01  1.508e-06
 2.395e-01  1.528e-06
 2.400e-01  1.549e-06
 2.405e-01  1.570e-06
 2.410e-01  1.592e-06
 2.415e-01  1.613e-06
 2.420e-01  1.635e-06
 2.425e-01  1.657e-06
 2.430e-01  1.679e-06
 2.435e-01  1.701e-06
 2.440e-01  1.723e-06
 2.445e-01  1.746e-06
 2.450e-01  1.769e-06
 2.455e-01  1.792e-06
 2.460e-01  1.815e-06
 2.465e-01  1.838e-06
 2.470e-01  1.862e-06
 2.475e-01  1.886e-06
 2.480e-01  1.910e-06
 2.485e-01  1.934e-06
 2.490e-01  1.958e-06
 2.495e-01  1.983e-06
 2.500e-01  2.008e-06
 2.505e-01  2.033e-06
 2.510e-01  2.058e-06
 2.515e-01  2.083e-06
 2.520e-01  2.109e-06
 2.525e-01  2.135e-06
 2.530e-01  2.161e-06
 2.535e-01  2.187e-06
 2.540e-01  2.213e-06
 2.545e-01  2.240e-06
 2.550e-01  2.267e-06
 2.555e-01  2.294e-06
 2.560e-01  2.321e-06
 2.565e-01  2.349e-06
 2.570e-01  2.376e-06
 2.575e-01  2.404e-06
 2.580e-01  2.432e-06
 2.585e-01  2.461e-06
 2.590e-01  2.489e-06
 2.595e-01  2.518e-06
 2.600e-01  2.547e-06
 2.605e-01  2.576e-06
 2.610e-01  2.606e-06
 2.615e-01  2.635e-06
 2.620e-01  2.665e-06
 2.625e-01  2.695e-06
